frame_index,frame_label,previous_frame_label,interface_event_count,"events(interface_type,event_type,atom_i,atom_j,group_i,group_j,symbol_i,symbol_j,pair,distance_broken,distance_formed)"
26,set_000__step_00001350,set_000__step_00001300,2,"{water-surface,formed,113,1032,surface,water,Zn,O,O-Zn,,1.892230} {water-surface,formed,799,1034,surface,water,O,H,H-O,,1.107741}"
27,set_000__step_00001400,set_000__step_00001350,0,
28,set_000__step_00001450,set_000__step_00001400,1,"{water-surface,formed,93,1017,surface,water,Zn,O,O-Zn,,2.178362}"
29,set_000__step_00001500,set_000__step_00001450,0,
30,set_000__step_00001550,set_000__step_00001500,1,"{water-surface,broken,93,1017,surface,water,Zn,O,O-Zn,2.039043,}"
31,set_000__step_00001600,set_000__step_00001550,0,
32,set_000__step_00001650,set_000__step_00001600,1,"{water-surface,broken,799,1034,surface,water,O,H,H-O,0.957568,}"
33,set_000__step_00001700,set_000__step_00001650,1,"{water-surface,broken,113,1032,surface,water,Zn,O,O-Zn,2.033820,}"
34,set_000__step_00001750,set_000__step_00001700,0,
35,set_000__step_00001800,set_000__step_00001750,1,"{water-surface,formed,113,1032,surface,water,Zn,O,O-Zn,,2.128131}"
36,set_000__step_00001850,set_000__step_00001800,1,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.092600}"
37,set_000__step_00001900,set_000__step_00001850,1,"{water-surface,broken,113,1032,surface,water,Zn,O,O-Zn,2.103871,}"
38,set_000__step_00001950,set_000__step_00001900,1,"{water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,1.996348,}"
39,set_000__step_00002000,set_000__step_00001950,0,
40,set_000__step_00002050,set_000__step_00002000,0,
41,set_000__step_00002100,set_000__step_00002050,0,
42,set_000__step_00002150,set_000__step_00002100,1,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.127634}"
43,set_000__step_00002200,set_000__step_00002150,0,
44,set_000__step_00002250,set_000__step_00002200,1,"{water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,1.896502,}"
45,set_000__step_00002300,set_000__step_00002250,0,
46,set_000__step_00002350,set_000__step_00002300,0,
47,set_000__step_00002400,set_000__step_00002350,0,
48,set_000__step_00002450,set_000__step_00002400,0,
49,set_000__step_00002500,set_000__step_00002450,1,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.035569}"
50,set_000__step_00002550,set_000__step_00002500,0,
51,set_000__step_00002600,set_000__step_00002550,1,"{water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.000106,}"
52,set_000__step_00002650,set_000__step_00002600,2,"{water-surface,formed,153,1032,surface,water,Zn,O,O-Zn,,1.908052} {water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,2.152476}"
53,set_000__step_00002700,set_000__step_00002650,0,
54,set_000__step_00002750,set_000__step_00002700,1,"{water-surface,broken,153,1032,surface,water,Zn,O,O-Zn,2.003859,}"
55,set_000__step_00002800,set_000__step_00002750,2,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.171653} {water-surface,broken,913,1053,surface,water,Zn,O,O-Zn,2.012369,}"
56,set_000__step_00002850,set_000__step_00002800,0,
57,set_000__step_00002900,set_000__step_00002850,0,
58,set_000__step_00002950,set_000__step_00002900,2,"{water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,2.146138} {water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.120938,}"
59,set_000__step_00003000,set_000__step_00002950,0,
60,set_000__step_00003050,set_000__step_00003000,2,"{water-surface,formed,153,1032,surface,water,Zn,O,O-Zn,,1.858625} {water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.169589}"
61,set_000__step_00003100,set_000__step_00003050,1,"{water-surface,broken,913,1053,surface,water,Zn,O,O-Zn,2.158191,}"
62,set_000__step_00003150,set_000__step_00003100,1,"{water-surface,broken,153,1032,surface,water,Zn,O,O-Zn,2.086539,}"
63,set_000__step_00003200,set_000__step_00003150,3,"{water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.099213} {water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,2.125841} {water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.141836,}"
64,set_000__step_00003250,set_000__step_00003200,0,
65,set_000__step_00003300,set_000__step_00003250,4,"{water-surface,formed,153,1032,surface,water,Zn,O,O-Zn,,2.066170} {water-surface,formed,639,1054,surface,water,O,H,H-O,,1.210755} {water-surface,broken,833,993,surface,water,Zn,O,O-Zn,1.995424,} {water-surface,broken,913,1053,surface,water,Zn,O,O-Zn,2.050734,}"
66,set_000__step_00003350,set_000__step_00003300,1,"{water-surface,broken,639,1054,surface,water,O,H,H-O,1.210755,}"
67,set_000__step_00003400,set_000__step_00003350,1,"{water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,2.183992}"
68,set_000__step_00003450,set_000__step_00003400,0,
69,set_000__step_00003500,set_000__step_00003450,1,"{water-surface,broken,913,1053,surface,water,Zn,O,O-Zn,2.139834,}"
70,set_000__step_00003550,set_000__step_00003500,1,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,1.929025}"
71,set_000__step_00003600,set_000__step_00003550,2,"{water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.191444} {water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,2.178806}"
72,set_000__step_00003650,set_000__step_00003600,2,"{water-surface,broken,153,1032,surface,water,Zn,O,O-Zn,2.001654,} {water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.027270,}"
73,set_000__step_00003700,set_000__step_00003650,1,"{water-surface,formed,119,1033,surface,water,O,H,H-O,,1.148178}"
74,set_000__step_00003750,set_000__step_00003700,2,"{water-surface,formed,153,1032,surface,water,Zn,O,O-Zn,,1.961572} {water-surface,formed,559,995,surface,water,O,H,H-O,,1.207658}"
75,set_000__step_00003800,set_000__step_00003750,0,
76,set_000__step_00003850,set_000__step_00003800,1,"{water-surface,formed,619,1030,surface,water,O,H,H-O,,1.216165}"
77,set_000__step_00003900,set_000__step_00003850,2,"{water-surface,broken,559,995,surface,water,O,H,H-O,1.164250,} {water-surface,broken,619,1030,surface,water,O,H,H-O,1.216165,}"
78,set_000__step_00003950,set_000__step_00003900,2,"{water-surface,broken,119,1033,surface,water,O,H,H-O,1.189189,} {water-surface,broken,913,1053,surface,water,Zn,O,O-Zn,2.046170,}"
79,set_000__step_00004000,set_000__step_00003950,1,"{water-surface,broken,153,1032,surface,water,Zn,O,O-Zn,1.954624,}"
80,set_000__step_00004050,set_000__step_00004000,1,"{water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.038864,}"
81,set_000__step_00004100,set_000__step_00004050,0,
82,set_000__step_00004150,set_000__step_00004100,1,"{water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,2.155952}"
83,set_000__step_00004200,set_000__step_00004150,2,"{water-surface,formed,153,1032,surface,water,Zn,O,O-Zn,,1.937429} {water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.106142}"
84,set_000__step_00004250,set_000__step_00004200,0,
85,set_000__step_00004300,set_000__step_00004250,2,"{water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.121202,} {water-surface,broken,913,1053,surface,water,Zn,O,O-Zn,2.156005,}"
86,set_000__step_00004350,set_000__step_00004300,2,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,1.980049} {water-surface,broken,153,1032,surface,water,Zn,O,O-Zn,2.194628,}"
87,set_000__step_00004400,set_000__step_00004350,1,"{water-surface,formed,153,1032,surface,water,Zn,O,O-Zn,,2.081349}"
88,set_000__step_00004450,set_000__step_00004400,1,"{water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,2.143633}"
89,set_000__step_00004500,set_000__step_00004450,1,"{water-surface,formed,559,995,surface,water,O,H,H-O,,1.185076}"
90,set_000__step_00004550,set_000__step_00004500,3,"{water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.096588} {water-surface,broken,153,1032,surface,water,Zn,O,O-Zn,2.087853,} {water-surface,broken,559,995,surface,water,O,H,H-O,1.185076,}"
91,set_000__step_00004600,set_000__step_00004550,1,"{water-surface,broken,913,1053,surface,water,Zn,O,O-Zn,2.135686,}"
92,set_000__step_00004650,set_000__step_00004600,1,"{water-surface,formed,153,1032,surface,water,Zn,O,O-Zn,,2.043373}"
93,set_000__step_00004700,set_000__step_00004650,2,"{water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,2.092107} {water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.199664,}"
94,set_000__step_00004750,set_000__step_00004700,2,"{water-surface,formed,119,1033,surface,water,O,H,H-O,,1.189861} {water-surface,formed,559,995,surface,water,O,H,H-O,,1.203416}"
95,set_000__step_00004800,set_000__step_00004750,1,"{water-surface,broken,119,1033,surface,water,O,H,H-O,1.189861,}"
96,set_000__step_00004850,set_000__step_00004800,1,"{water-surface,broken,913,1053,surface,water,Zn,O,O-Zn,2.136749,}"
97,set_000__step_00004900,set_000__step_00004850,2,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.034027} {water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,2.132711}"
98,set_000__step_00004950,set_000__step_00004900,1,"{water-surface,broken,559,995,surface,water,O,H,H-O,1.248378,}"
99,set_000__step_00005000,set_000__step_00004950,2,"{water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.053719,} {water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.099098,}"
100,set_000__step_00005050,set_000__step_00005000,2,"{water-surface,broken,153,1032,surface,water,Zn,O,O-Zn,2.136982,} {water-surface,broken,913,1053,surface,water,Zn,O,O-Zn,2.030877,}"
101,set_000__step_00005100,set_000__step_00005050,1,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.154883}"
102,set_000__step_00005150,set_000__step_00005100,1,"{water-surface,formed,153,1032,surface,water,Zn,O,O-Zn,,2.138287}"
103,set_000__step_00005200,set_000__step_00005150,1,"{water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,2.041342}"
104,set_000__step_00005250,set_000__step_00005200,3,"{water-surface,formed,119,1033,surface,water,O,H,H-O,,1.158638} {water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.075462} {water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.140655,}"
105,set_000__step_00005300,set_000__step_00005250,2,"{water-surface,broken,119,1033,surface,water,O,H,H-O,1.158638,} {water-surface,broken,913,1053,surface,water,Zn,O,O-Zn,1.955528,}"
106,set_000__step_00005350,set_000__step_00005300,0,
107,set_000__step_00005400,set_000__step_00005350,2,"{water-surface,broken,153,1032,surface,water,Zn,O,O-Zn,2.108913,} {water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.198801,}"
108,set_000__step_00005450,set_000__step_00005400,3,"{water-surface,formed,153,1032,surface,water,Zn,O,O-Zn,,2.160699} {water-surface,formed,233,1056,surface,water,Zn,O,O-Zn,,2.153042} {water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,1.974328}"
109,set_000__step_00005500,set_000__step_00005450,1,"{water-surface,broken,233,1056,surface,water,Zn,O,O-Zn,2.153042,}"
110,set_000__step_00005550,set_000__step_00005500,2,"{water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.110717} {water-surface,broken,913,1053,surface,water,Zn,O,O-Zn,1.995721,}"
111,set_000__step_00005600,set_000__step_00005550,1,"{water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,2.198750}"
112,set_000__step_00005650,set_000__step_00005600,1,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.176478}"
113,set_000__step_00005700,set_000__step_00005650,2,"{water-surface,formed,619,1031,surface,water,O,H,H-O,,0.970619} {water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.075360,}"
114,set_000__step_00005750,set_000__step_00005700,1,"{water-surface,broken,913,1053,surface,water,Zn,O,O-Zn,2.005126,}"
115,set_000__step_00005800,set_000__step_00005750,1,"{water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,1.940424}"
116,set_000__step_00005850,set_000__step_00005800,1,"{water-surface,broken,619,1031,surface,water,O,H,H-O,1.187534,}"
117,set_000__step_00005900,set_000__step_00005850,1,"{water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.031685,}"
118,set_000__step_00005950,set_000__step_00005900,1,"{water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,2.033953}"
119,set_000__step_00006000,set_000__step_00005950,1,"{water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.180531}"
120,set_000__step_00006050,set_000__step_00006000,2,"{water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.184780,} {water-surface,broken,913,1053,surface,water,Zn,O,O-Zn,2.083596,}"
121,set_000__step_00006100,set_000__step_00006050,0,
122,set_000__step_00006150,set_000__step_00006100,2,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.172247} {water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.137524,}"
123,set_000__step_00006200,set_000__step_00006150,0,
124,set_000__step_00006250,set_000__step_00006200,2,"{water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.197745} {water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,2.047933}"
125,set_000__step_00006300,set_000__step_00006250,1,"{water-surface,formed,639,1054,surface,water,O,H,H-O,,0.945023}"
126,set_000__step_00006350,set_000__step_00006300,3,"{water-surface,formed,293,1056,surface,water,Zn,O,O-Zn,,2.020742} {water-surface,formed,633,996,surface,water,Zn,O,O-Zn,,1.925666} {water-surface,broken,639,1054,surface,water,O,H,H-O,0.945023,}"
127,set_000__step_00006400,set_000__step_00006350,2,"{water-surface,formed,639,1054,surface,water,O,H,H-O,,1.050082} {water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.004594,}"
128,set_000__step_00006450,set_000__step_00006400,3,"{water-surface,formed,168,1047,surface,water,Zn,O,O-Zn,,1.938212} {water-surface,broken,293,1056,surface,water,Zn,O,O-Zn,2.033210,} {water-surface,broken,633,996,surface,water,Zn,O,O-Zn,2.095385,}"
129,set_000__step_00006500,set_000__step_00006450,0,
130,set_000__step_00006550,set_000__step_00006500,3,"{water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,1.944530} {water-surface,broken,168,1047,surface,water,Zn,O,O-Zn,2.104689,} {water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.131534,}"
131,set_000__step_00006600,set_000__step_00006550,1,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.114155}"
132,set_000__step_00006650,set_000__step_00006600,1,"{water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.032537,}"
133,set_000__step_00006700,set_000__step_00006650,1,"{water-surface,formed,119,1033,surface,water,O,H,H-O,,1.190334}"
134,set_000__step_00006750,set_000__step_00006700,3,"{water-surface,formed,293,1056,surface,water,Zn,O,O-Zn,,2.051042} {water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.187919} {water-surface,broken,119,1033,surface,water,O,H,H-O,1.190334,}"
135,set_000__step_00006800,set_000__step_00006750,1,"{water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.181489,}"
136,set_000__step_00006850,set_000__step_00006800,2,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.076242} {water-surface,broken,293,1056,surface,water,Zn,O,O-Zn,2.139378,}"
137,set_000__step_00006900,set_000__step_00006850,1,"{water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.031980,}"
138,set_000__step_00006950,set_000__step_00006900,1,"{water-surface,formed,168,1047,surface,water,Zn,O,O-Zn,,2.080577}"
139,set_000__step_00007000,set_000__step_00006950,0,
140,set_000__step_00007050,set_000__step_00007000,3,"{water-surface,formed,293,1056,surface,water,Zn,O,O-Zn,,2.121093} {water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.116172} {water-surface,broken,168,1047,surface,water,Zn,O,O-Zn,1.937015,}"
141,set_000__step_00007100,set_000__step_00007050,1,"{water-surface,formed,259,1058,surface,water,O,H,H-O,,1.041815}"
142,set_000__step_00007150,set_000__step_00007100,1,"{water-surface,broken,639,1054,surface,water,O,H,H-O,1.119613,}"
143,set_000__step_00007200,set_000__step_00007150,1,"{water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.166254,}"
144,set_000__step_00007250,set_000__step_00007200,2,"{water-surface,formed,633,996,surface,water,Zn,O,O-Zn,,2.058044} {water-surface,broken,913,1053,surface,water,Zn,O,O-Zn,2.194832,}"
145,set_000__step_00007300,set_000__step_00007250,2,"{water-surface,formed,168,1047,surface,water,Zn,O,O-Zn,,1.948543} {water-surface,broken,259,1058,surface,water,O,H,H-O,1.093251,}"
146,set_000__step_00007350,set_000__step_00007300,4,"{water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,1.984821} {water-surface,formed,913,1053,surface,water,Zn,O,O-Zn,,2.102083} {water-surface,broken,293,1056,surface,water,Zn,O,O-Zn,2.141849,} {water-surface,broken,633,996,surface,water,Zn,O,O-Zn,2.011362,}"
147,set_000__step_00007400,set_000__step_00007350,2,"{water-surface,formed,293,1056,surface,water,Zn,O,O-Zn,,2.186257} {water-surface,broken,168,1047,surface,water,Zn,O,O-Zn,2.069817,}"
148,set_000__step_00007450,set_000__step_00007400,1,"{water-surface,formed,639,1054,surface,water,O,H,H-O,,1.240445}"
149,set_000__step_00007500,set_000__step_00007450,1,"{water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.189105,}"
150,set_000__step_00007550,set_000__step_00007500,3,"{water-surface,formed,599,997,surface,water,O,H,H-O,,1.179387} {water-surface,formed,633,996,surface,water,Zn,O,O-Zn,,2.068475} {water-surface,broken,293,1056,surface,water,Zn,O,O-Zn,2.051695,}"
151,set_000__step_00007600,set_000__step_00007550,3,"{water-surface,formed,168,1047,surface,water,Zn,O,O-Zn,,1.887477} {water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.111427} {water-surface,formed,854,1048,surface,water,O,H,H-O,,1.154115}"
152,set_000__step_00007650,set_000__step_00007600,1,"{water-surface,formed,293,1056,surface,water,Zn,O,O-Zn,,2.186164}"
153,set_000__step_00007700,set_000__step_00007650,3,"{water-surface,broken,168,1047,surface,water,Zn,O,O-Zn,1.948455,} {water-surface,broken,633,996,surface,water,Zn,O,O-Zn,2.177869,} {water-surface,broken,854,1048,surface,water,O,H,H-O,1.143160,}"
154,set_000__step_00007750,set_000__step_00007700,2,"{water-surface,formed,633,996,surface,water,Zn,O,O-Zn,,1.826929} {water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.055629,}"
155,set_000__step_00007800,set_000__step_00007750,3,"{water-surface,formed,119,1033,surface,water,O,H,H-O,,1.047742} {water-surface,formed,168,1047,surface,water,Zn,O,O-Zn,,2.166941} {water-surface,broken,293,1056,surface,water,Zn,O,O-Zn,2.001047,}"
156,set_000__step_00007850,set_000__step_00007800,2,"{water-surface,formed,293,1056,surface,water,Zn,O,O-Zn,,2.135918} {water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.081564}"
157,set_000__step_00007900,set_000__step_00007850,1,"{water-surface,broken,119,1033,surface,water,O,H,H-O,1.104108,}"
158,set_000__step_00007950,set_000__step_00007900,2,"{water-surface,broken,168,1047,surface,water,Zn,O,O-Zn,2.062895,} {water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.136548,}"
159,set_000__step_00008000,set_000__step_00007950,2,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.191170} {water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.159862,}"
160,set_000__step_00008050,set_000__step_00008000,1,"{water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.138491}"
161,set_000__step_00008100,set_000__step_00008050,1,"{water-surface,formed,168,1047,surface,water,Zn,O,O-Zn,,2.071921}"
162,set_000__step_00008150,set_000__step_00008100,0,
163,set_000__step_00008200,set_000__step_00008150,2,"{water-surface,broken,168,1047,surface,water,Zn,O,O-Zn,1.969040,} {water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.104719,}"
164,set_000__step_00008250,set_000__step_00008200,2,"{water-surface,broken,153,1032,surface,water,Zn,O,O-Zn,2.171490,} {water-surface,broken,293,1056,surface,water,Zn,O,O-Zn,2.190216,}"
165,set_000__step_00008300,set_000__step_00008250,3,"{water-surface,formed,153,1032,surface,water,Zn,O,O-Zn,,2.144197} {water-surface,formed,293,1056,surface,water,Zn,O,O-Zn,,2.184375} {water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.128155}"
166,set_000__step_00008350,set_000__step_00008300,2,"{water-surface,formed,168,1047,surface,water,Zn,O,O-Zn,,2.015417} {water-surface,broken,599,997,surface,water,O,H,H-O,1.176504,}"
167,set_000__step_00008400,set_000__step_00008350,2,"{water-surface,formed,793,990,surface,water,Zn,O,O-Zn,,2.068207} {water-surface,broken,633,996,surface,water,Zn,O,O-Zn,2.146627,}"
168,set_000__step_00008450,set_000__step_00008400,4,"{water-surface,formed,633,996,surface,water,Zn,O,O-Zn,,2.118302} {water-surface,broken,153,1032,surface,water,Zn,O,O-Zn,2.066797,} {water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.151271,} {water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.189192,}"
169,set_000__step_00008500,set_000__step_00008450,2,"{water-surface,broken,293,1056,surface,water,Zn,O,O-Zn,2.198722,} {water-surface,broken,793,990,surface,water,Zn,O,O-Zn,1.981255,}"
170,set_000__step_00008550,set_000__step_00008500,3,"{water-surface,formed,153,1032,surface,water,Zn,O,O-Zn,,2.174848} {water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.078608} {water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.162091}"
171,set_000__step_00008600,set_000__step_00008550,1,"{water-surface,broken,633,996,surface,water,Zn,O,O-Zn,2.110166,}"
172,set_000__step_00008650,set_000__step_00008600,2,"{water-surface,formed,293,1056,surface,water,Zn,O,O-Zn,,2.063837} {water-surface,formed,633,996,surface,water,Zn,O,O-Zn,,2.167036}"
173,set_000__step_00008700,set_000__step_00008650,2,"{water-surface,broken,153,1032,surface,water,Zn,O,O-Zn,2.021708,} {water-surface,broken,168,1047,surface,water,Zn,O,O-Zn,2.110241,}"
174,set_000__step_00008750,set_000__step_00008700,1,"{water-surface,formed,153,1032,surface,water,Zn,O,O-Zn,,2.171599}"
175,set_000__step_00008800,set_000__step_00008750,3,"{water-surface,formed,168,1047,surface,water,Zn,O,O-Zn,,2.130449} {water-surface,broken,293,1056,surface,water,Zn,O,O-Zn,2.163842,} {water-surface,broken,633,996,surface,water,Zn,O,O-Zn,2.120957,}"
176,set_000__step_00008850,set_000__step_00008800,1,"{water-surface,formed,793,990,surface,water,Zn,O,O-Zn,,1.936277}"
177,set_000__step_00008900,set_000__step_00008850,2,"{water-surface,formed,633,996,surface,water,Zn,O,O-Zn,,2.108605} {water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.048096,}"
178,set_000__step_00008950,set_000__step_00008900,5,"{water-surface,formed,293,1056,surface,water,Zn,O,O-Zn,,2.154638} {water-surface,broken,153,1032,surface,water,Zn,O,O-Zn,2.142048,} {water-surface,broken,168,1047,surface,water,Zn,O,O-Zn,2.077738,} {water-surface,broken,793,990,surface,water,Zn,O,O-Zn,2.154651,} {water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.033523,}"
179,set_000__step_00009000,set_000__step_00008950,2,"{water-surface,formed,153,1032,surface,water,Zn,O,O-Zn,,2.178415} {water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.012395}"
180,set_000__step_00009050,set_000__step_00009000,2,"{water-surface,formed,168,1047,surface,water,Zn,O,O-Zn,,2.154771} {water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.197760}"
181,set_000__step_00009100,set_000__step_00009050,3,"{water-surface,formed,119,1033,surface,water,O,H,H-O,,1.172422} {water-surface,broken,639,1054,surface,water,O,H,H-O,1.125964,} {water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.027258,}"
182,set_000__step_00009150,set_000__step_00009100,1,"{water-surface,formed,639,1054,surface,water,O,H,H-O,,1.178321}"
183,set_000__step_00009200,set_000__step_00009150,3,"{water-surface,formed,599,997,surface,water,O,H,H-O,,1.168803} {water-surface,formed,793,990,surface,water,Zn,O,O-Zn,,2.076718} {water-surface,broken,168,1047,surface,water,Zn,O,O-Zn,2.057951,}"
184,set_000__step_00009250,set_000__step_00009200,5,"{water-surface,formed,759,992,surface,water,O,H,H-O,,1.177020} {water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.108360} {water-surface,broken,119,1033,surface,water,O,H,H-O,1.162634,} {water-surface,broken,293,1056,surface,water,Zn,O,O-Zn,2.079621,} {water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.178986,}"
185,set_000__step_00009300,set_000__step_00009250,4,"{water-surface,formed,168,1047,surface,water,Zn,O,O-Zn,,2.108307} {water-surface,formed,293,1056,surface,water,Zn,O,O-Zn,,2.196061} {water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.055830} {water-surface,broken,759,992,surface,water,O,H,H-O,1.177020,}"
186,set_000__step_00009350,set_000__step_00009300,0,
187,set_000__step_00009400,set_000__step_00009350,0,
188,set_000__step_00009450,set_000__step_00009400,3,"{water-surface,formed,759,992,surface,water,O,H,H-O,,0.981109} {water-surface,broken,168,1047,surface,water,Zn,O,O-Zn,2.090128,} {water-surface,broken,833,993,surface,water,Zn,O,O-Zn,2.128161,}"
189,set_000__step_00009500,set_000__step_00009450,1,"{water-surface,formed,833,993,surface,water,Zn,O,O-Zn,,2.140900}"
